booking_id;hotel;is_canceled;lead_time;arrival_date_week_number;booking_date;arrival_date;arrival_date_day_of_month;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;meal;country;market_segment;is_repeated_guest;previous_cancellations;assigned_room_type;booking_changes;deposit_type;agent;company;customer_type;required_car_parking_spaces;total_of_special_requests
1;Resort Hotel;0;342;27;24-07-2017;01-07-2018;1;0;0;2;0;0;BB;Portugal;Direct;0;0;C;3;No Deposit;NULL;NULL;No Contract (Single);0;0
2;Resort Hotel;0;737;27;24-06-2016;01-07-2018;1;0;0;2;0;0;BB;Portugal;Direct;0;0;C;4;No Deposit;NULL;NULL;No Contract (Single);0;0
3;Resort Hotel;0;7;27;24-06-2018;01-07-2018;1;0;1;1;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Direct;0;0;C;0;No Deposit;NULL;NULL;No Contract (Single);0;0
4;Resort Hotel;0;13;27;18-06-2018;01-07-2018;1;0;1;1;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Corporate;0;0;A;0;No Deposit;304;NULL;No Contract (Single);0;0
5;Resort Hotel;0;14;27;17-06-2018;01-07-2018;1;0;2;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;1
6;Resort Hotel;0;14;27;17-06-2018;01-07-2018;1;0;2;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;1
7;Resort Hotel;0;0;27;01-07-2018;01-07-2018;1;0;2;2;0;0;BB;Portugal;Direct;0;0;C;0;No Deposit;NULL;NULL;No Contract (Single);0;0
8;Resort Hotel;0;9;27;22-06-2018;01-07-2018;1;0;2;2;0;0;FB;Portugal;Direct;0;0;C;0;No Deposit;303;NULL;No Contract (Single);0;1
9;Resort Hotel;1;85;27;07-04-2018;01-07-2018;1;0;3;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;1
10;Resort Hotel;1;75;27;17-04-2018;01-07-2018;1;0;3;2;0;0;HB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;15;NULL;No Contract (Single);0;0
11;Resort Hotel;1;23;27;08-06-2018;01-07-2018;1;0;4;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;0
12;Resort Hotel;0;35;27;27-05-2018;01-07-2018;1;0;4;2;0;0;HB;Portugal;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);0;0
