booking_id;hotel;is_canceled;lead_time;arrival_date_week_number;booking_date;arrival_date;arrival_date_day_of_month;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;meal;country;market_segment;is_repeated_guest;previous_cancellations;assigned_room_type;booking_changes;deposit_type;agent;customer_type;required_car_parking_spaces;total_of_special_requests
1;NF Hotel;0;342;27;2017-07-24;2018-07-01;1;0;0;2;0;0;BB;Portugal;Direct;0;0;C;3;No Deposit;0;No Contract (Single);0;0
2;NF Hotel;0;737;27;2016-06-24;2018-07-01;1;0;0;2;0;0;BB;Portugal;Direct;0;0;C;4;No Deposit;0;No Contract (Single);0;0
3;NF Hotel;0;7;27;2018-06-24;2018-07-01;1;0;1;1;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Direct;0;0;C;0;No Deposit;0;No Contract (Single);0;0
4;NF Hotel;0;13;27;2018-06-18;2018-07-01;1;0;1;1;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Corporate;0;0;A;0;No Deposit;304;No Contract (Single);0;0
5;NF Hotel;0;14;27;2018-06-17;2018-07-01;1;0;2;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;1
6;NF Hotel;0;14;27;2018-06-17;2018-07-01;1;0;2;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;1
7;NF Hotel;0;0;27;2018-07-01;2018-07-01;1;0;2;2;0;0;BB;Portugal;Direct;0;0;C;0;No Deposit;0;No Contract (Single);0;0
8;NF Hotel;0;9;27;2018-06-22;2018-07-01;1;0;2;2;0;0;FB;Portugal;Direct;0;0;C;0;No Deposit;303;No Contract (Single);0;1
9;NF Hotel;1;85;27;2018-04-07;2018-07-01;1;0;3;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;1
10;NF Hotel;1;75;27;2018-04-17;2018-07-01;1;0;3;2;0;0;HB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;15;No Contract (Single);0;0
11;NF Hotel;1;23;27;2018-06-08;2018-07-01;1;0;4;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;0
12;NF Hotel;0;35;27;2018-05-27;2018-07-01;1;0;4;2;0;0;HB;Portugal;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);0;0
13;NF Hotel;0;68;27;2018-04-24;2018-07-01;1;0;4;2;0;0;BB;United States of America (the);Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;3
14;NF Hotel;0;18;27;2018-06-13;2018-07-01;1;0;4;2;1;0;HB;Spain;Online TA;0;0;G;1;No Deposit;241;No Contract (Single);0;1
15;NF Hotel;0;37;27;2018-05-25;2018-07-01;1;0;4;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;241;No Contract (Single);0;0
16;NF Hotel;0;68;27;2018-04-24;2018-07-01;1;0;4;2;0;0;BB;Ireland;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;3
17;NF Hotel;0;37;27;2018-05-25;2018-07-01;1;0;4;2;0;0;BB;Portugal;Offline TA/TO;0;0;E;0;No Deposit;8;Contract (Single);0;0
18;NF Hotel;0;12;27;2018-06-19;2018-07-01;1;0;1;2;0;0;BB;Ireland;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;0
19;NF Hotel;0;0;27;2018-07-01;2018-07-01;1;0;1;2;0;0;BB;France;Corporate;0;0;G;0;No Deposit;0;No Contract (Single);0;0
20;NF Hotel;0;7;27;2018-06-24;2018-07-01;1;0;4;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Direct;0;0;G;0;No Deposit;250;No Contract (Single);0;1
21;NF Hotel;0;37;27;2018-05-25;2018-07-01;1;1;4;1;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;F;0;No Deposit;241;No Contract (Single);0;1
22;NF Hotel;0;72;27;2018-04-20;2018-07-01;1;2;4;2;0;0;BB;Portugal;Direct;0;0;A;1;No Deposit;250;No Contract (Single);0;1
23;NF Hotel;0;72;27;2018-04-20;2018-07-01;1;2;4;2;0;0;BB;Portugal;Direct;0;0;A;1;No Deposit;250;No Contract (Single);0;1
24;NF Hotel;0;72;27;2018-04-20;2018-07-01;1;2;4;2;0;0;BB;Portugal;Direct;0;0;D;1;No Deposit;250;No Contract (Single);0;1
25;NF Hotel;0;127;27;2018-02-24;2018-07-01;1;2;5;2;0;0;HB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;I;0;No Deposit;115;Contract (Single);0;1
26;NF Hotel;0;78;27;2018-04-14;2018-07-01;1;2;5;2;0;0;BB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;5;No Contract (Single);1;0
27;NF Hotel;0;48;27;2018-05-14;2018-07-01;1;2;5;2;0;0;BB;Ireland;Offline TA/TO;0;0;D;0;No Deposit;8;Contract (Single);0;0
28;NF Hotel;1;60;27;2018-05-02;2018-07-01;1;2;5;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;2
29;NF Hotel;0;77;27;2018-04-15;2018-07-01;1;2;5;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;0
30;NF Hotel;0;99;27;2018-03-24;2018-07-01;1;2;5;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);1;1
31;NF Hotel;0;118;27;2018-03-05;2018-07-01;1;4;10;1;0;0;BB;Unknown;Direct;0;0;A;2;No Deposit;0;No Contract (Single);0;2
32;NF Hotel;0;95;27;2018-03-28;2018-07-01;1;4;11;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;D;0;No Deposit;241;No Contract (Single);0;0
33;NF Hotel;1;96;27;2018-03-27;2018-07-01;1;2;8;2;0;0;BB;Portugal;Direct;0;0;E;0;No Deposit;0;No Contract (Single);0;2
34;NF Hotel;0;69;27;2018-04-24;2018-07-02;2;2;4;2;0;0;BB;Ireland;Offline TA/TO;0;0;C;0;No Deposit;175;No Contract (Single);0;0
35;NF Hotel;1;45;27;2018-05-18;2018-07-02;2;1;3;3;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;241;No Contract (Single);0;1
36;NF Hotel;1;40;27;2018-05-23;2018-07-02;2;1;3;3;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;241;No Contract (Single);0;1
37;NF Hotel;0;15;27;2018-06-17;2018-07-02;2;1;3;2;0;0;BB;Spain;Online TA;0;0;C;0;No Deposit;240;No Contract (Single);0;0
38;NF Hotel;0;36;27;2018-05-27;2018-07-02;2;1;3;3;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;241;No Contract (Single);0;1
39;NF Hotel;1;43;27;2018-05-20;2018-07-02;2;1;3;3;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;241;No Contract (Single);0;0
